Status,Street Address (Full),Zip Code,List Price,Sale Price,Age,Sq Ft Total,Lot Size,DOM,MLS Number ,Listing Date,Sale Date,Close Date,Original List Price,Year Built,Check price Sale/List Percent
Sold,2867 Richland AVE ,95125,2949998,3232000,62,3700,11228,7,ML81848153,6/9/2021,6/16/2021,7/20/2021,2949998,1959,9.56%
Sold,6596 Stonehill DR ,95120,2675000,2875000,27,3024,10850,7,ML81850232,6/22/2021,6/29/2021,7/13/2021,2675000,1994,7.48%
Sold,1172 Grimley LN ,95120,2595000,2800000,53,4200,42123,3,ML81850838,6/25/2021,6/28/2021,7/12/2021,2595000,1968,7.90%
Sold,1204 Dresden WAY ,95129,2250000,2780000,64,1988,5928,4,ML81848560,6/11/2021,6/15/2021,7/15/2021,2250000,1957,23.56%
Sold,2215 Constitution DR ,95124,2288000,2600000,55,2364,8220,5,ML81848237,6/10/2021,6/15/2021,7/19/2021,2288000,1966,13.64%
Sold,2313 Walden SQ ,95124,2298888,2515000,54,2392,8120,0,ML81853933,7/16/2021,7/16/2021,7/16/2021,2298888,1967,9.40%
Sold,1194 Chateau DR ,95120,2188000,2425000,60,2035,12451,2,ML81849195,6/16/2021,6/18/2021,7/9/2021,2188000,1961,10.83%
Sold,1005 Arlington LN ,95129,1849000,2425000,65,1160,6668,8,ML81847997,6/9/2021,6/17/2021,7/15/2021,1849000,1956,31.15%
Sold,20423 Hunters Hill RD ,95120,2250000,2400000,46,2356,49702,2,ML81850167,6/22/2021,6/24/2021,7/16/2021,2250000,1975,6.67%
Sold,1721 Husted AVE ,95124,2224500,2359000,56,2356,10325,3,ML81849099,6/16/2021,6/19/2021,7/12/2021,2224500,1965,6.05%
Sold,6708 Mount Pakron DR ,95120,1780000,2158888,52,2080,7928,7,ML81849270,6/16/2021,6/23/2021,7/21/2021,1780000,1969,21.29%
Sold,1358 Pine AVE ,95125,2199000,2150000,56,2939,7945,9,ML81848280,6/10/2021,6/19/2021,7/6/2021,2199000,1965,-2.23%
Sold,6536 Fall River DR ,95120,1898000,2120000,59,2558,8722,6,ML81848536,6/11/2021,6/17/2021,7/21/2021,1898000,1962,11.70%
Sold,1576 Inverness CIR ,95124,1598000,2100000,57,1931,6873,7,ML81847990,6/9/2021,6/16/2021,7/14/2021,1598000,1964,31.41%
