MLS Number,Street Address,zip_code,county,County_Index,List Price,Sale Price,Age,Sq Ft Total,Lot Size,Days On Market,Listing Date,Sale Date,Year Built,Listing Year,Sale Year
BA321045593,110 Ralston AVE ,94941,Marin,17,1750000,2200000,43,2215,31080,4,6/12/2021 0:00,6/16/2021 0:00,1978,2021,2021
BA321051684,526 Sandy ,94510,Solano,14,795000,865000,43,1579,14375,12,6/11/2021 0:00,6/23/2021 0:00,1978,2021,2021
BA321056825,1079 W Verano AVE ,95476,Sonoma,13,1285000,1300000,57,1353,12632,2,6/24/2021 0:00,6/26/2021 0:00,1964,2021,2021
BE40953648,37071 Elm St ,94536,Alameda,5,1348888,1575000,59,2011,9744,6,6/10/2021 0:00,6/16/2021 0:00,1962,2021,2021
CC40954591,1224 Sherlock Way ,94521,Contra Costa,4,719000,818000,65,1390,5700,5,6/16/2021 0:00,6/21/2021 0:00,1956,2021,2021
CC40954843,1245 Panorama Dr ,94549,Contra Costa,4,2385000,2600000,70,2632,30420,8,6/17/2021 0:00,6/25/2021 0:00,1951,2021,2021
CNSR20096339,27155 Colebrook PL ,91354,Los Angeles,0,710000,710000,32,1744,6978,5,5/20/2020 0:00,5/25/2020 0:00,1989,2020,2020
CRBB21127896,154 Azalea ST ,93015,Ventura,12,849999,890000,1,3177,8774,8,6/13/2021 0:00,6/21/2021 0:00,2020,2021,2021
CRNS21028439,435 Jacob WAY ,93465,San Luis Obispo,20,799000,799000,15,2076,18295,0,2/8/2021 0:00,2/8/2021 0:00,2006,2021,2021
CROC21128770,27780 Espinoza ,92692,Orange,1,645000,680000,45,1503,3478,8,6/15/2021 0:00,6/23/2021 0:00,1976,2021,2021
CRPW21126591,22 Bodega Bay ,92602,Orange,1,1280000,1330000,21,2009,3713,5,6/12/2021 0:00,6/17/2021 0:00,2000,2021,2021
CRPW21129845,6920 E Amapola AVE ,92869,Orange,1,2985000,3050000,30,6164,43560,337,7/23/2020 0:00,6/25/2021 0:00,1991,2020,2021
