Status,Street Address (Full),List Price,Sale Price,Age,Sq Ft Total,Lot Size,Listing Date,Sale Date,Close Date,DOM,Zip Code,Original List Price,Year Built,Lot Size,MLS Number ,,
Sold,238 San Miguel WAY ,739000,760000000,80,1123,6761,6/14/2021 0:00,6/25/2021 0:00,7/16/2021 0:00,11,95819,739000,1941,6761,ME221068143,,11
Sold,48 Crest Rd ,1395000,206250000,73,1402,9815,6/10/2021 0:00,6/19/2021 0:00,7/20/2021 0:00,9,94611,1395000,1948,9815,EB40953507,,
Sold,5 Coral ,20600000,19000000,4,12738,25023,6/1/2021 0:00,6/1/2021 0:00,6/18/2021 0:00,0,92657,20600000,2017,25023,CROC21129386,,
Sold,850 Linda Flora DR ,15868000,15350000,11,8177,40550,6/14/2021 0:00,6/18/2021 0:00,7/19/2021 0:00,4,90049,15868000,2010,40550,TM21-745464,,
Sold,12760 Bristol CIR ,14125000,14125000,1,8887,19323,6/22/2021 0:00,6/22/2021 0:00,6/22/2021 0:00,0,90049,14125000,2020,19323,TM21-752002,,
Sold,137 Heather DR ,12800000,14000000,14,8803,39996,6/17/2021 0:00,6/19/2021 0:00,6/29/2021 0:00,2,94027,12800000,2007,39996,ML81849395,,
Sold,622 Walden DR ,13500000,13500000,13,8918,13074,5/26/2021 0:00,5/27/2021 0:00,7/15/2021 0:00,1,90210,13500000,2008,13074,TM21-762052,,
Sold,30870 Broad Beach RD ,13450000,13350000,32,3293,15606,6/16/2021 0:00,7/12/2021 0:00,7/15/2021 0:00,26,90265,13450000,1989,15606,TM21-746776,,
Sold,25152 Malibu RD ,12500000,12500000,64,3107,6644,6/9/2021 0:00,6/9/2021 0:00,6/9/2021 0:00,0,90265,12500000,1957,6644,TM21-747046,,
Sold,111 Hill DR ,9500000,9500000,83,6520,28148,4/17/2021 0:00,4/18/2021 0:00,6/28/2021 0:00,1,94904,9500000,1938,28148,BA321059104,,
Sold,2519 Pierce ST ,9500000,9500000,111,4352,2406,5/6/2021 0:00,5/10/2021 0:00,6/14/2021 0:00,4,94115,9500000,1910,2406,SF421562053,,
Sold,9 Ocean Bluff ,9350000,9350000,18,5732,20229,6/30/2021 0:00,6/30/2021 0:00,6/30/2021 0:00,0,92657,9350000,2003,20229,CROC21143190,,
Sold,101 17Th ST ,8995000,9100000,12,8578,14461,6/28/2021 0:00,7/15/2021 0:00,7/16/2021 0:00,17,90402,8995000,2009,14461,TM21-753980,,
Sold,700 John ST ,8700000,8700000,59,4770,9982,6/17/2021 0:00,6/17/2021 0:00,6/17/2021 0:00,0,90266,8700000,1962,9982,CRSB21132642,,
Sold,2242 Nelligan RD ,8588000,8588000,14,4136,642074,6/11/2021 0:00,6/11/2021 0:00,6/11/2021 0:00,0,95442,8588000,2007,642074,BA321051753,,
Sold,16 Woodside WAY ,7995000,8150000,81,4575,36682,6/25/2021 0:00,6/25/2021 0:00,6/29/2021 0:00,0,94957,7995000,1940,36682,BA321055099,,
Sold,9 Vasquez TRL ,8000000,8000000,15,11853,753588,7/7/2021 0:00,7/7/2021 0:00,7/7/2021 0:00,0,93923,8000000,2006,753588,ML81852246,,
Sold,1005 Black Mountain RD ,7500000,8000000,5,4915,25265,6/16/2021 0:00,6/16/2021 0:00,6/16/2021 0:00,0,94010,7500000,2016,25265,ML81849238,,
Sold,16715 Camino Sierra Del Sur ,8400000,7900000,21,16322,2.49,6/8/2021 0:00,6/21/2021 0:00,7/2/2021 0:00,13,92067,8400000,2000,2.49,CRNDP2106705,,
Sold,301 20Th ST ,7995000,7875000,91,4728,8948,6/18/2021 0:00,6/28/2021 0:00,7/19/2021 0:00,10,90402,8495000,1930,8948,TM21-750034,,
Sold,711 Scott ST ,7850000,7830000,111,6966,4377,6/25/2021 0:00,7/9/2021 0:00,7/19/2021 0:00,14,94117,7850000,1910,4377,SF421563535,,
Sold,337 Via Lido Soud ,7820000,7820000,75,3157,2970,7/8/2021 0:00,7/8/2021 0:00,7/12/2021 0:00,0,92663,7820000,1946,2970,CRNP21148570,,
Sold,616 Ridge RD ,7495000,7650000,44,5300,23958,5/29/2021 0:00,5/29/2021 0:00,6/24/2021 0:00,0,94920,7495000,1977,23958,BA321057925,,
Sold,2645 Greenwich ST ,7750000,7630000,113,2300,3436,4/12/2021 0:00,4/17/2021 0:00,5/28/2021 0:00,5,94123,7750000,1908,3436,SF421561793,,
Sold,6 Windemere CT ,7500000,7150000,24,5364,15600,6/11/2021 0:00,7/4/2021 0:00,7/20/2021 0:00,23,92657,7500000,1997,15600,CRNP21133826,,
Sold,15480 Albright ST ,7095000,7095000,0,6607,13636,6/21/2021 0:00,6/21/2021 0:00,6/24/2021 0:00,0,90272,7095000,2021,13636,TM20-609176,,
