MLS Number,Street Address,zip_code,county,age,Sq Ft Total,Lot size,Year Built
CRP1-5385,1428 Hacienda DR ,91011,Los Angeles,56,3637,17421,1965
CNSR21123928,19458 Maldonado PL ,91350,Los Angeles,3,1943,5811,2018
CROC21112305,29069 Sterling LN ,91354,Los Angeles,7,2796,5329,2014
CNSR21126159,5063 Gaviota AVE ,91436,Los Angeles,21,4749,13874,2000
CRNDP2106846,602 Wildflower PL ,92026,San Diego,40,1964,4271,1981
CRSW21126908,24463 Corte Descanso ,92562,Riverside,22,2086,7405,1999
CRSW21124634,31551 Alicante LOOP ,92596,Riverside,3,1611,2223,2018
CROC21133611,14892 Waverly LN ,92604,Orange,50,1217,4950,1971
CRPW21134222,19771 Inverness LN ,92646,Orange,56,600,800,1965
CROC21150562,2476 White River WAY ,92782,Orange,22,3829,13189,1999
CRV0-219001394,450 Graham AVE ,93010,Ventura,60,1208,7003,1961
CC40953950,105 Cordova Way ,94519,Contra Costa,74,1313,5700,1947
ML81853154,125 Navigator DR ,95066,Santa Cruz,24,2030,3528,1997
ME221065460,1620 Royal Crest DR ,95242,San Joaquin,47,1300,6599,1974
BA321035349,18955 Robinson RD ,95476,Sonoma,69,1302,19423,1952
ME221060024,2028 Daphne AVE ,95864,Sacramento,66,1159,6599,1955
ME201901630,16 Sunflower LN ,95966,Butte,39,1512,43996,1982
ME221066031,1424 Tres Picos DR ,95993,Sutter,19,1784,7405,2002
CRPW21118939,12930 Burgess AVE ,90638,Los Angeles,62,1592,6303,1959
CNSR21122752,4916 Greenbush AVE ,91423,Los Angeles,70,2475,7206,1951
CRNDP2106998,6211 Agee ST ,92122,San Diego,53,1698,7100,1968
CRPTP2104175,10615 GREENFORD DRIVE ,92126,San Diego,42,1900,6400,1979
CRIG21127301,16722 Desert Willow ST ,92394,San Bernardino,14,2607,6249,2007
CRIG21124407,4064 Tamarind ,92530,Riverside,4,1851,6970,2017
CROC21125012,5252 Vineland DR ,92649,Orange,55,2105,6262,1966
CRIG21111996,3175 Timberline DR ,92882,Riverside,33,1700,5227,1988
ML81848203,102 Nueva AVE ,94061,San Mateo,66,910,4185,1955
EB40953716,238 Lawrence Ln ,94513,Contra Costa,18,1832,5266,2003
CC40955293,1255 Coventry Rd ,94518,Contra Costa,56,1072,5400,1965
ML81851863,4170 Rivermark PKWY ,95054,Santa Clara,18,3395,3394,2003
ML81848133,1540 Capitancillos DR ,95120,Santa Clara,42,2522,10776,1979
ML81853760,4018 Tuers RD ,95121,Santa Clara,43,1633,7235,1978
ME221069947,8705 Los Encantos CIR ,95624,Sacramento,42,1456,7802,1979
ME221071832,1637 Caislean WAY ,95630,Sacramento,20,1607,6085,2001
ME221066268,6527 Mystery Mountain WAY ,95765,Placer,20,1650,5663,2001
CRPT21137245,8002 Beaver Lake DR ,92119,San Diego,61,1579,8500,1960
CRCV21125440,15236 Mesquite WAY ,92394,San Bernardino,30,1320,10500,1991
CREV21137296,24514 E 3rd ST ,92410,San Bernardino,89,864,6250,1932
CRSW21115110,34518 Hickory LN ,92595,Riverside,36,2016,18731,1985
CROC21121697,9 Salinas ,92610,Orange,27,2140,5750,1994
CROC21133807,8 Cannes ,92614,Orange,33,2601,5000,1988
CROC21134191,6518 E Via Estrada ,92807,Orange,47,1607,10175,1974
SF421561777,415 Alhambra RD ,94080,San Mateo,67,1190,4800,1954
CC40955892,2087 Esperanza Drive ,94519,Contra Costa,75,1469,5775,1946
BA321051720,7170 Lynch RD ,95472,Sonoma,75,3285,37897,1946
ME221056875,10830 Nestlenook CIR ,95655,Sacramento,18,4062,11535,2003
ME221069507,3429 Brittany WAY ,95762,El Dorado,20,3717,54450,2001
ME201900602,3250 Glen AVE ,95966,Butte,59,1452,18731,1962
ME201901315,2527 C ST ,95966,Butte,95,1008,4792,1926
ME201703531,11633 County Road 56 ,96101,Modoc,43,1344,934362,1978
TM21-744366,2224 Ronda Vista DR ,90027,Los Angeles,1,2281,4700,2020
TM21-759244,5162 Mesmer AVE ,90230,Los Angeles,70,2336,5000,1951
CRSW21127699,12021 Old Mill RD ,90720,Orange,61,3716,8470,1960
CRPW21127260,217 Corona AVE ,90803,Los Angeles,96,1156,2689,1925
CRCV21132847,2535 S Calaveras PL ,91761,San Bernardino,44,1734,7280,1977
CROC21124387,1 Nutwood ,92604,Orange,43,1321,3118,1978
CRPW21127512,19731 Parkview Terrace ,92886,Orange,49,1800,6875,1972
CC40955178,61 Carlos Ct ,94597,Contra Costa,69,1430,10010,1952
ML81851239,875 S. Tantau AVE ,95014,Santa Clara,61,1432,6333,1960
ML81848214,73 N 25th ST ,95116,Santa Clara,95,1000,4989,1926
ME221066039,4117 Heirloom ,95377,San Joaquin,21,2376,4815,2000
ME221060592,6501 Rexford WAY ,95608,Sacramento,59,1580,7405,1962
BA321052051,1073 N Station DR ,95688,Solano,12,2205,6935,2009
ME221058901,4064 Rose Creek RD ,95747,Placer,24,1102,5340,1997
ME202003254,311 Los Verjeles RD ,95914,Butte,61,1500,225205,1960
ME201902581,3885 Oro Bangor HWY ,95966,Butte,56,2029,239580,1965
TM21-753854,905 Irolo ST ,90006,Los Angeles,113,2428,8089,1908
TM21-743020,2059 Laurel Canyon BLVD ,90046,Los Angeles,95,1001,3992,1926
CRTR21114501,15647 Tall Oak DR ,91709,San Bernardino,33,2240,8030,1988
CRNDP2107754,31060 Hilltop DR ,92082,San Diego,46,2079,108900,1975
CRSB21124628,2024 Boundary ST ,92104,San Diego,57,1460,7000,1964
CROC21117050,51 Wild Horse ,92602,Orange,5,2547,5055,2016
CRNP21068210,1975 Port Bristol CIR ,92660,Orange,0,4522,7581,2021
CRPW21128855,2707 E Serrano AVE ,92867,Orange,47,2556,11200,1974
CC40953619,3702 Clayburn Rd ,94509,Contra Costa,62,1224,6500,1959
ME202002124,539 Everett St ,94530,Contra Costa,74,1864,3700,1947
CRMC21124506,394 E 18th ST ,95340,Merced,72,1954,7405,1949
ME221072443,108 Hubert DR ,95354,Stanislaus,44,1245,5663,1977
BA321054312,21573 Highland TER ,95462,Sonoma,111,1167,8844,1910
ME221070245,2680 Flintlock LN ,95765,Placer,12,2183,9021,2009
ME221083327,1196 Potomac WAY ,95961,Yuba,0,2041,8822,2021
ME201902492,2673 Fort Wayne ST ,95966,Butte,31,1040,4792,1990
CNSR21132347,3944 Edenhurst AVE ,90039,Los Angeles,96,851,5582,1925
CRPW21129324,4202 Nipomo AVE ,90713,Los Angeles,69,1215,5254,1952
CNSR21126560,12129 Hesby ST ,91607,Los Angeles,71,1635,7427,1950
CNSR21137807,523 Ramona AVE ,91750,Los Angeles,63,1231,9616,1958
CRIV21120177,5066 S Kensington AVE ,91762,San Bernardino,5,3079,4997,2016
CRDW21100712,16 S Primrose AVE ,91801,Los Angeles,98,986,4950,1923
CRSW21128083,26203 Columbus DR ,92586,Riverside,32,1417,7841,1989
CRPW21126591,22 Bodega Bay ,92602,Orange,21,2009,3713,2000
CROC21119404,199 Pompano PL ,92860,Riverside,17,3582,55757,2004
CRV0-219011791,1485 Church ST ,93001,Ventura,93,1879,5700,1928
ML81848045,785 Ponderosa AVE ,94086,Santa Clara,58,1533,6100,1963
EB40953947,5476 Mountain Ridge Way ,94531,Contra Costa,4,3529,6594,2017
BA321066030,5326 Bayridge CT ,94534,Solano,6,4594,31050,2015
CC40953596,11 San Luis Court ,94597,Contra Costa,67,1825,7500,1954
CC40955489,432 Candleberry Rd ,94598,Contra Costa,59,1885,8625,1962
EB40953437,1221 Ward Street ,94702,Alameda,99,1199,3500,1922
EB40953605,770 9Th St ,94801,Contra Costa,80,794,4400,1941
ML81851076,2335 Heritage CT ,95124,Santa Clara,54,2364,9092,1967
