zip_code,county,County_Index,Year_Sale,List Price,Sale Price,Age,Sq Ft Total,Lot Size,DOM,Sale Date
90638,Los Angeles,0,2021,845000,845000,62,1592,6303,13,6/15/2021 0:00
91423,Los Angeles,0,2021,1600000,1710000,70,2475,7206,8,6/19/2021 0:00
92122,San Diego,7,2021,1388000,1428000,53,1698,7100,12,6/22/2021 0:00
92126,San Diego,7,2021,975000,945000,42,1900,6400,19,6/29/2021 0:00
92394,San Bernardino,8,2021,379900,417000,14,2607,6249,6,6/17/2021 0:00
92530,Riverside,3,2021,555000,555000,4,1851,6970,6,6/15/2021 0:00
92649,Orange,1,2021,975000,1040000,55,2105,6262,20,7/2/2021 0:00
92882,Riverside,3,2021,675000,701000,33,1700,5227,39,6/15/2021 0:00
94061,San Mateo,11,2021,1298000,1385000,66,910,4185,8,6/18/2021 0:00
94513,Contra Costa,4,2021,680000,700000,18,1832,5266,7,6/17/2021 0:00
94518,Contra Costa,4,2021,730000,803000,56,1072,5400,9,7/2/2021 0:00
95054,Santa Clara,6,2021,2400000,2400000,18,3395,3394,0,7/2/2021 0:00
95120,Santa Clara,6,2021,1825000,1875000,42,2522,10776,9,6/18/2021 0:00
95121,Santa Clara,6,2021,1000000,1000000,43,1633,7235,0,7/15/2021 0:00
95624,Sacramento,2,2021,479999,479000,42,1456,7802,4,6/21/2021 0:00
95630,Sacramento,2,2021,700000,690000,20,1607,6085,5,6/28/2021 0:00
95765,Placer,10,2021,525000,535000,20,1650,5663,4,6/15/2021 0:00
91011,Los Angeles,0,2021,2800000,2780000,56,3637,17421,36,6/23/2021 0:00
91350,Los Angeles,0,2021,831000,831000,3,1943,5811,12,6/22/2021 0:00
91354,Los Angeles,0,2021,928000,925000,7,2796,5329,7,6/16/2021 0:00
91436,Los Angeles,0,2021,2512500,2512500,21,4749,13874,0,6/14/2021 0:00
92026,San Diego,7,2021,699000,730000,40,1964,4271,12,6/24/2021 0:00
92562,Riverside,3,2021,535000,580000,22,2086,7405,7,6/23/2021 0:00
92596,Riverside,3,2021,450000,500000,3,1611,2223,7,6/16/2021 0:00
92604,Orange,1,2021,940000,940000,50,1217,4950,30,7/19/2021 0:00
92646,Orange,1,2021,425000,435000,56,600,800,7,6/28/2021 0:00
92782,Orange,1,2021,2300000,2300000,22,3829,13189,0,7/7/2021 0:00
93010,Ventura,12,2019,540000,528000,60,1208,7003,57,4/5/2019 0:00
94519,Contra Costa,4,2021,730000,765000,74,1313,5700,12,6/23/2021 0:00
95066,Santa Cruz,26,2021,1300000,1300000,24,2030,3528,0,7/12/2021 0:00
95242,San Joaquin,15,2021,389950,425000,47,1300,6599,7,6/16/2021 0:00
95476,Sonoma,13,2021,875000,915000,69,1302,19423,29,5/21/2021 0:00
95864,Sacramento,2,2021,469000,508500,66,1159,6599,5,6/22/2021 0:00
95966,Butte,9,2019,219900,219900,39,1512,43996,90,8/13/2019 0:00
95993,Sutter,23,2021,429000,460000,19,1784,7405,4,6/14/2021 0:00
92119,San Diego,7,2021,720000,757000,61,1579,8500,4,6/28/2021 0:00
92394,San Bernardino,8,2021,324999,348000,30,1320,10500,14,6/23/2021 0:00
92410,San Bernardino,8,2021,225000,175000,89,864,6250,0,6/27/2021 0:00
92595,Riverside,3,2021,625000,690000,36,2016,18731,18,6/15/2021 0:00
92610,Orange,1,2021,1029900,1100000,27,2140,5750,24,6/14/2021 0:00
92614,Orange,1,2021,1250000,1250000,33,2601,5000,0,6/19/2021 0:00
92807,Orange,1,2021,849900,890000,47,1607,10175,5,6/26/2021 0:00
94080,San Mateo,11,2021,1088000,1200000,67,1190,4800,11,6/25/2021 0:00
94519,Contra Costa,4,2021,575000,641000,75,1469,5775,7,7/1/2021 0:00
95472,Sonoma,13,2021,1089000,1089000,75,3285,37897,4,6/19/2021 0:00
95655,Sacramento,2,2021,699900,745000,18,4062,11535,2,6/19/2021 0:00
95762,El Dorado,18,2021,1250000,1327000,20,3717,54450,4,6/29/2021 0:00
95966,Butte,9,2019,200000,205000,59,1452,18731,5,3/6/2019 0:00
95966,Butte,9,2019,154700,155000,95,1008,4792,96,7/29/2019 0:00
96101,Modoc,43,2020,172500,172500,43,1344,934362,892,4/4/2020 0:00
90027,Los Angeles,0,2021,1969000,2001000,1,2281,4700,8,6/18/2021 0:00
