MLS Number,county,County_Index,Year_Sale,List Price,Sale Price,DOM,Sale Date
CRP1-5385,Los Angeles,0,2021,2800000,2780000,36,6/23/2021 0:00
CNSR21123928,Los Angeles,0,2021,831000,831000,12,6/22/2021 0:00
CROC21112305,Los Angeles,0,2021,928000,925000,7,6/16/2021 0:00
CNSR21126159,Los Angeles,0,2021,2512500,2512500,0,6/14/2021 0:00
CRNDP2106846,San Diego,7,2021,699000,730000,12,6/24/2021 0:00
CRSW21126908,Riverside,3,2021,535000,580000,7,6/23/2021 0:00
CRSW21124634,Riverside,3,2021,450000,500000,7,6/16/2021 0:00
CROC21133611,Orange,1,2021,940000,940000,30,7/19/2021 0:00
CRPW21134222,Orange,1,2021,425000,435000,7,6/28/2021 0:00
CROC21150562,Orange,1,2021,2300000,2300000,0,7/7/2021 0:00
CRV0-219001394,Ventura,12,2019,540000,528000,57,4/5/2019 0:00
CC40953950,Contra Costa,4,2021,730000,765000,12,6/23/2021 0:00
ML81853154,Santa Cruz,26,2021,1300000,1300000,0,7/12/2021 0:00
ME221065460,San Joaquin,15,2021,389950,425000,7,6/16/2021 0:00
BA321035349,Sonoma,13,2021,875000,915000,29,5/21/2021 0:00
ME221060024,Sacramento,2,2021,469000,508500,5,6/22/2021 0:00
ME201901630,Butte,9,2019,219900,219900,90,8/13/2019 0:00
ME221066031,Sutter,23,2021,429000,460000,4,6/14/2021 0:00
CRPW21118939,Los Angeles,0,2021,845000,845000,13,6/15/2021 0:00
CNSR21122752,Los Angeles,0,2021,1600000,1710000,8,6/19/2021 0:00
CRNDP2106998,San Diego,7,2021,1388000,1428000,12,6/22/2021 0:00
CRPTP2104175,San Diego,7,2021,975000,945000,19,6/29/2021 0:00
CRIG21127301,San Bernardino,8,2021,379900,417000,6,6/17/2021 0:00
CRIG21124407,Riverside,3,2021,555000,555000,6,6/15/2021 0:00
CROC21125012,Orange,1,2021,975000,1040000,20,7/2/2021 0:00
CRIG21111996,Riverside,3,2021,675000,701000,39,6/15/2021 0:00
ML81848203,San Mateo,11,2021,1298000,1385000,8,6/18/2021 0:00
EB40953716,Contra Costa,4,2021,680000,700000,7,6/17/2021 0:00
CC40955293,Contra Costa,4,2021,730000,803000,9,7/2/2021 0:00
ML81851863,Santa Clara,6,2021,2400000,2400000,0,7/2/2021 0:00
ML81848133,Santa Clara,6,2021,1825000,1875000,9,6/18/2021 0:00
ML81853760,Santa Clara,6,2021,1000000,1000000,0,7/15/2021 0:00
ME221069947,Sacramento,2,2021,479999,479000,4,6/21/2021 0:00
ME221071832,Sacramento,2,2021,700000,690000,5,6/28/2021 0:00
ME221066268,Placer,10,2021,525000,535000,4,6/15/2021 0:00
TM21-744366,Los Angeles,0,2021,1969000,2001000,8,6/18/2021 0:00
TM21-759244,Los Angeles,0,2021,2435000,2435000,0,7/9/2021 0:00
CRSW21127699,Orange,1,2021,2395000,2350000,9,6/21/2021 0:00
CRPW21127260,Los Angeles,0,2021,1089000,1119000,0,6/11/2021 0:00
CRCV21132847,San Bernardino,8,2021,599900,665000,6,6/24/2021 0:00
CROC21124387,Orange,1,2021,830000,910000,6,6/17/2021 0:00
CRPW21127512,Orange,1,2021,950000,950000,1,6/12/2021 0:00
CC40955178,Contra Costa,4,2021,1050000,1175000,4,6/22/2021 0:00
ML81851239,Santa Clara,6,2021,1980000,1980000,0,6/29/2021 0:00
ML81848214,Santa Clara,6,2021,669888,811000,6,6/16/2021 0:00
ME221066039,San Joaquin,15,2021,659000,750000,6,6/16/2021 0:00
ME221060592,Sacramento,2,2021,479500,490000,11,6/21/2021 0:00
BA321052051,Solano,14,2021,646000,646000,5,6/29/2021 0:00
ME221058901,Placer,10,2021,450000,480000,6,6/10/2021 0:00
ME202003254,Butte,9,2021,370000,400000,146,3/30/2021 0:00
ME201902581,Butte,9,2019,399000,335500,74,10/1/2019 0:00
CRPT21137245,San Diego,7,2021,720000,757000,4,6/28/2021 0:00
CRCV21125440,San Bernardino,8,2021,324999,348000,14,6/23/2021 0:00
CREV21137296,San Bernardino,8,2021,225000,175000,0,6/27/2021 0:00
CRSW21115110,Riverside,3,2021,625000,690000,18,6/15/2021 0:00
CROC21121697,Orange,1,2021,1029900,1100000,24,6/14/2021 0:00
CROC21133807,Orange,1,2021,1250000,1250000,0,6/19/2021 0:00
CROC21134191,Orange,1,2021,849900,890000,5,6/26/2021 0:00
SF421561777,San Mateo,11,2021,1088000,1200000,11,6/25/2021 0:00
CC40955892,Contra Costa,4,2021,575000,641000,7,7/1/2021 0:00
BA321051720,Sonoma,13,2021,1089000,1089000,4,6/19/2021 0:00
ME221056875,Sacramento,2,2021,699900,745000,2,6/19/2021 0:00
ME221069507,El Dorado,18,2021,1250000,1327000,4,6/29/2021 0:00
ME201900602,Butte,9,2019,200000,205000,5,3/6/2019 0:00
ME201901315,Butte,9,2019,154700,155000,96,7/29/2019 0:00
ME201703531,Modoc,43,2020,172500,172500,892,4/4/2020 0:00
CNSR21132347,Los Angeles,0,2021,775000,825500,13,6/29/2021 0:00
CRPW21129324,Los Angeles,0,2021,799999,821000,6,6/21/2021 0:00
CNSR21126560,Los Angeles,0,2021,1349000,1349000,5,6/28/2021 0:00
CNSR21137807,Los Angeles,0,2021,749990,845000,6,6/30/2021 0:00
CRIV21120177,San Bernardino,8,2021,730000,750000,11,6/14/2021 0:00
CRDW21100712,Los Angeles,0,2021,589000,585000,43,6/22/2021 0:00
CRSW21128083,Riverside,3,2021,349900,355000,2,6/14/2021 0:00
CRPW21126591,Orange,1,2021,1280000,1330000,5,6/17/2021 0:00
CROC21119404,Riverside,3,2021,1095000,1270000,20,6/21/2021 0:00
CRV0-219011791,Ventura,12,2019,1249900,1249900,32,10/25/2019 0:00
ML81848045,Santa Clara,6,2021,1798000,2320000,7,6/16/2021 0:00
EB40953947,Contra Costa,4,2021,855000,930000,8,6/19/2021 0:00
BA321066030,Solano,14,2021,1750000,1750000,29,6/30/2021 0:00
CC40953596,Contra Costa,4,2021,1325000,1500000,5,6/15/2021 0:00
CC40955489,Contra Costa,4,2021,1250000,1430000,9,7/2/2021 0:00
EB40953437,Alameda,5,2021,899000,1100000,8,6/17/2021 0:00
EB40953605,Contra Costa,4,2021,419000,500000,6,6/16/2021 0:00
ML81851076,Santa Clara,6,2021,1999000,1999999,11,7/8/2021 0:00
ML81848194,San Joaquin,15,2021,950000,1008888,9,6/19/2021 0:00
CRLC21124778,Lake,37,2021,529000,529000,290,7/4/2021 0:00
BA321060673,Solano,14,2021,509000,540000,5,7/7/2021 0:00
ME221053835,Placer,10,2021,679999,680000,4,6/21/2021 0:00
ME221069434,Sacramento,2,2021,544900,590000,5,6/22/2021 0:00
TM21-753854,Los Angeles,0,2021,1670000,1670000,0,6/27/2021 0:00
TM21-743020,Los Angeles,0,2021,975000,1020000,5,6/15/2021 0:00
CRTR21114501,San Bernardino,8,2021,849900,888000,11,6/19/2021 0:00
CRNDP2107754,San Diego,7,2021,749000,770000,9,7/11/2021 0:00
CRSB21124628,San Diego,7,2021,1200000,1200000,10,6/19/2021 0:00
CROC21117050,Orange,1,2021,1699800,1850000,15,6/16/2021 0:00
CRNP21068210,Orange,1,2021,4995000,4995000,0,4/1/2021 0:00
CRPW21128855,Orange,1,2021,1199000,1138200,20,7/4/2021 0:00
CC40953619,Contra Costa,4,2021,525000,570000,5,6/15/2021 0:00
ME202002124,Contra Costa,4,2021,1024000,1100000,231,3/7/2021 0:00
CRMC21124506,Merced,27,2021,339900,360000,2,6/11/2021 0:00
ME221072443,Stanislaus,16,2021,365000,395000,4,6/25/2021 0:00
BA321054312,Sonoma,13,2021,599000,700000,15,7/2/2021 0:00
ME221070245,Placer,10,2021,689000,720000,5,6/22/2021 0:00
ME221083327,Yuba,21,2020,442510,468600,7,12/19/2020 0:00
ME201902492,Butte,9,2019,99000,90000,49,9/11/2019 0:00
CNSR21126896,Los Angeles,0,2021,775000,845000,3,6/14/2021 0:00
CNSR21124985,San Bernardino,8,2021,460000,445000,4,6/14/2021 0:00
CRCV21110079,San Bernardino,8,2021,525000,581000,32,6/20/2021 0:00
CRCV21127381,Orange,1,2021,1150000,1157000,13,6/25/2021 0:00
CROC21126390,Orange,1,2021,4188000,4015000,9,6/18/2021 0:00
CROC21130227,Orange,1,2021,1500000,1500000,0,6/15/2021 0:00
CROC21126717,Orange,1,2021,875000,905000,4,6/15/2021 0:00
CROC21127071,Orange,1,2021,1019900,1075000,73,6/23/2021 0:00
ML81848252,Santa Clara,6,2021,3150000,3408000,6,6/16/2021 0:00
CC40959759,Contra Costa,4,2021,1150000,1150000,0,7/21/2021 0:00
CC40959207,Contra Costa,4,2021,850000,850000,2,4/23/2021 0:00
CC40954244,Contra Costa,4,2021,2700000,3000000,4,6/22/2021 0:00
ML81848522,Contra Costa,4,2021,1799000,2050000,2,6/13/2021 0:00
ML81848740,Santa Clara,6,2021,1249000,1380000,7,6/21/2021 0:00
ML81848453,Santa Cruz,26,2021,1074000,1185000,3,6/14/2021 0:00
ME221067823,Stanislaus,16,2021,299999,325000,6,6/22/2021 0:00
ME221045215,El Dorado,18,2021,575000,575000,3,7/4/2021 0:00
ME221074728,Sacramento,2,2021,580000,578000,5,6/30/2021 0:00
ME221064610,Sacramento,2,2021,648000,702000,7,6/17/2021 0:00
ME221032319,El Dorado,18,2021,590000,680000,3,6/20/2021 0:00
CRSN21124299,Butte,9,2021,385000,407000,6,6/15/2021 0:00
ME221081284,Sutter,23,2021,385000,385000,0,7/8/2021 0:00
CRCV21128370,Los Angeles,0,2021,549000,575000,9,6/23/2021 0:00
CRSW21126121,Riverside,3,2021,499900,525000,4,6/15/2021 0:00
CRCV21128105,Riverside,3,2021,485000,525000,10,6/23/2021 0:00
CRSW21136255,Riverside,3,2021,399000,450000,7,6/30/2021 0:00
CROC21124382,Orange,1,2021,2500000,2500000,20,6/29/2021 0:00
CROC21127728,Orange,1,2021,1400000,1575000,4,6/15/2021 0:00
CRPW21125696,Orange,1,2021,975000,1055000,7,6/17/2021 0:00
CRPW21121394,Orange,1,2021,929000,965000,11,6/21/2021 0:00
CROC21142980,Orange,1,2021,649900,695000,0,7/1/2021 0:00
CRV0-219007091,Ventura,12,2019,674900,658000,80,8/29/2019 0:00
CRPI21124310,San Luis Obispo,20,2021,1175000,1240205,1,6/14/2021 0:00
ML81849744,San Mateo,11,2021,1495000,1550000,5,6/23/2021 0:00
BE40955555,San Mateo,11,2021,1795000,2000000,3,6/27/2021 0:00
ME221067482,Contra Costa,4,2021,750000,837500,7,6/18/2021 0:00
CC40955070,Contra Costa,4,2021,770000,850000,5,6/23/2021 0:00
BE40956518,Contra Costa,4,2021,1298000,1410000,0,6/28/2021 0:00
BA321047431,Marin,17,2021,1625000,1810000,13,6/28/2021 0:00
ML81848029,Santa Clara,6,2021,1550000,1720000,7,6/16/2021 0:00
ML81848560,Santa Clara,6,2021,2250000,2780000,4,6/15/2021 0:00
ML81848160,Santa Clara,6,2021,1399000,1580000,10,6/19/2021 0:00
ME221062918,Sacramento,2,2021,499000,540000,6,6/21/2021 0:00
BA321051478,Solano,14,2021,615000,660000,7,6/17/2021 0:00
ME221084556,Yuba,21,2020,478820,504457,15,12/27/2020 0:00
ME202101069,Yuba,21,2021,339900,355000,3,5/3/2021 0:00
TM21-751130,Los Angeles,0,2021,890000,890000,0,6/11/2021 0:00
TM21-751144,Los Angeles,0,2021,915000,915000,0,6/11/2021 0:00
CRPW21119473,Los Angeles,0,2021,630000,690000,13,6/15/2021 0:00
CNSR21132007,Los Angeles,0,2021,755000,755000,11,6/28/2021 0:00
CRNDP2106379,San Diego,7,2021,925000,950000,20,6/21/2021 0:00
CRNDP2106930,San Diego,7,2021,975000,1100000,14,6/29/2021 0:00
CRIV21128641,Riverside,3,2021,330000,320000,0,6/14/2021 0:00
CROC21126348,Orange,1,2021,2540000,2540000,0,5/27/2021 0:00
CROC21107624,Orange,1,2021,1549000,1600000,40,6/16/2021 0:00
CRV0-220007854,Ventura,12,2020,674900,680000,24,8/17/2020 0:00
ML81849339,San Mateo,11,2021,5598000,6000000,6,6/23/2021 0:00
ML81849557,Santa Clara,6,2021,849950,968000,7,6/25/2021 0:00
BE40955369,Alameda,5,2021,758000,820000,9,6/30/2021 0:00
CC40953935,Contra Costa,4,2021,1050000,1170000,0,6/11/2021 0:00
EB40953510,Alameda,5,2021,1187400,1670989,13,6/22/2021 0:00
BA321051468,Marin,17,2021,1299000,1325000,0,5/18/2021 0:00
BA321050991,Marin,17,2021,2895000,2800000,11,6/21/2021 0:00
CRMC21128966,Merced,27,2021,189900,188000,9,6/23/2021 0:00
ME221058661,Stanislaus,16,2021,380000,410101,4,6/29/2021 0:00
ME221043979,San Joaquin,15,2021,849900,850000,3,6/22/2021 0:00
ME221065597,Sacramento,2,2021,574900,600000,5,6/14/2021 0:00
ME221068559,Sacramento,2,2021,469000,491000,7,6/21/2021 0:00
BA321054476,Solano,14,2021,519900,535000,7,6/23/2021 0:00
ME221065476,Placer,10,2021,529000,540000,23,7/3/2021 0:00
ME221067043,Sacramento,2,2021,499000,510000,4,6/15/2021 0:00
ME221065276,Sacramento,2,2021,450000,475000,5,6/14/2021 0:00
CRPW21128751,Los Angeles,0,2021,749999,800000,9,6/23/2021 0:00
CNSR21107463,Los Angeles,0,2021,929777,920000,5,6/16/2021 0:00
CRCV21124099,San Bernardino,8,2021,685000,780000,7,6/16/2021 0:00
CREV21132120,Riverside,3,2021,529000,579000,4,6/21/2021 0:00
CRSB21134167,San Bernardino,8,2021,864000,1069000,5,6/26/2021 0:00
CRSW21114214,Riverside,3,2021,610000,610000,35,6/23/2021 0:00
CRPW21114760,Riverside,3,2021,589900,695000,20,6/15/2021 0:00
CRV0-219013987,Ventura,12,2019,499900,518275,34,12/24/2019 0:00
CRFR21138655,Fresno,31,2021,268000,293000,18,7/13/2021 0:00
ML81848204,Santa Clara,6,2021,1688000,1910000,5,6/16/2021 0:00
BE40953990,Alameda,5,2021,1098888,1175000,7,6/18/2021 0:00
BE40954332,Alameda,5,2021,789950,836000,5,6/22/2021 0:00
ME221068256,Contra Costa,4,2021,725000,767500,7,6/25/2021 0:00
ML81850226,Alameda,5,2021,1330000,1500000,4,6/26/2021 0:00
EB40953423,Alameda,5,2021,798000,1010000,14,6/23/2021 0:00
ME221065981,San Joaquin,15,2021,392000,392000,9,6/19/2021 0:00
ME221064877,Stanislaus,16,2021,439000,458000,4,6/15/2021 0:00
ME221067104,Placer,10,2021,569000,565000,12,6/23/2021 0:00
ME201903126,Butte,9,2019,309000,275000,108,12/23/2019 0:00
ME202101099,Yuba,21,2021,279900,285000,7,5/12/2021 0:00
ME201902480,Butte,9,2019,215000,231000,8,7/24/2019 0:00
TM21-743846,Los Angeles,0,2021,1920000,2030000,6,6/16/2021 0:00
CNSR21119978,Los Angeles,0,2021,675000,720000,10,6/19/2021 0:00
CRPW21124803,San Diego,7,2021,850000,1000001,29,6/15/2021 0:00
CNSR21124727,Riverside,3,2021,859895,840000,6,6/15/2021 0:00
CRSB21127784,San Bernardino,8,2021,545000,545000,3,6/28/2021 0:00
CREV21135815,San Bernardino,8,2021,550000,550000,3,6/25/2021 0:00
CRPW21048239,Orange,1,2021,1165000,1165000,83,5/26/2021 0:00
CRPW21123465,Orange,1,2021,879000,1050000,13,6/21/2021 0:00
CRPW21068803,Orange,1,2021,1400000,1450000,39,5/10/2021 0:00
CNSR21101491,Los Angeles,0,2021,259999,255000,5,6/21/2021 0:00
CRFR21126116,Fresno,31,2021,600000,600000,20,6/30/2021 0:00
ML81848253,Santa Clara,6,2021,2998000,3620000,7,6/17/2021 0:00
ML81848245,San Mateo,11,2021,2288000,2820000,11,6/21/2021 0:00
CC40954857,Contra Costa,4,2021,1959000,2400000,7,6/24/2021 0:00
ME221067382,Stanislaus,16,2021,469500,482500,4,6/15/2021 0:00
ME221048781,El Dorado,18,2021,450000,485000,7,6/16/2021 0:00
BA321051135,Solano,14,2021,625000,680000,5,6/22/2021 0:00
ME221005883,El Dorado,18,2021,865000,880000,6,6/15/2021 0:00
